t [s],a_x [m/s^2]
2.6,0.93843
2.602,0.94989
2.604,0.95939
2.606,0.96769
2.608,0.97551
2.61,0.98245
2.612,0.98733
2.614,0.98963
2.616,0.99018
2.618,0.9902
2.62,0.99005
2.622,0.98888
2.624,0.98552
2.626,0.97978
2.628,0.97283
2.63,0.96604
2.632,0.95941
2.634,0.95125
2.636,0.93877
2.638,0.91945
2.64,0.89229
2.642,0.85793
2.644,0.81813
2.646,0.77516
2.648,0.73069
2.65,0.68419
2.652,0.63329
2.654,0.57736
2.656,0.52011
2.658,0.46721
2.66,0.42181
2.662,0.38357
2.664,0.35063
2.666,0.32127
2.668,0.29468
2.67,0.27124
2.672,0.25217
2.674,0.23829
2.676,0.22913
2.678,0.22348
2.68,0.22056
2.682,0.22047
2.684,0.22366
2.686,0.23014
2.688,0.23901
2.69,0.24886
2.692,0.25883
2.694,0.26878
2.696,0.27882
2.698,0.28872
2.7,0.29748
2.702,0.30379
2.704,0.30711
2.706,0.30819
2.708,0.30825
2.71,0.30779
2.712,0.30615
2.714,0.30228
2.716,0.29578
2.718,0.28711
2.72,0.27675
2.722,0.26473
2.724,0.25096
2.726,0.23582
2.728,0.22043
2.73,0.20604
2.732,0.19281
2.734,0.17941
2.736,0.1637
2.738,0.14373
2.74,0.11862
2.742,0.088692
2.744,0.054765
2.746,0.017046
2.748,-0.025126
2.75,-0.072484
2.752,-0.12483
2.754,-0.18071
2.756,-0.23817
2.758,-0.29472
2.76,-0.34773
2.762,-0.39628
2.764,-0.44224
2.766,-0.48796
2.768,-0.53346
2.77,-0.57714
2.772,-0.61859
2.774,-0.65918
2.776,-0.69961
2.778,-0.73858
2.78,-0.77414
2.782,-0.80554
2.784,-0.83347
2.786,-0.85863
2.788,-0.88061
2.79,-0.89829
2.792,-0.91103
2.794,-0.91952
2.796,-0.92553
2.798,-0.93093
2.8,-0.93659
2.802,-0.94211
2.804,-0.94661
2.806,-0.9495
2.808,-0.95075
2.81,-0.95089
2.812,-0.95039
2.814,-0.94882
2.816,-0.94425
2.818,-0.93391
2.82,-0.91619
2.822,-0.89214
2.824,-0.86458
2.826,-0.8354
2.828,-0.80434
2.83,-0.77047
2.832,-0.73406
2.834,-0.69744
2.836,-0.66413
2.838,-0.63648
2.84,-0.61347
2.842,-0.59139
2.844,-0.56621
2.846,-0.53564
2.848,-0.5001
2.85,-0.46193
2.852,-0.42285
2.854,-0.38201
2.856,-0.33725
2.858,-0.28812
2.86,-0.23694
2.862,-0.18715
2.864,-0.14088
2.866,-0.098366
2.868,-0.058907
2.87,-0.021844
2.872,0.012822
2.874,0.044252
2.876,0.07196
2.878,0.09722
2.88,0.12244
2.882,0.14909
2.884,0.17629
2.886,0.20158
2.888,0.22309
2.89,0.24146
2.892,0.2597
2.894,0.28121
2.896,0.30796
2.898,0.33969
2.9,0.37412
2.902,0.40857
2.904,0.44189
2.906,0.47488
2.908,0.50879
2.91,0.54327
2.912,0.57603
2.914,0.60432
2.916,0.62679
2.918,0.6442
2.92,0.65823
2.922,0.66977
